HABERLER,ETIKET
"TÜİK verilerine göre sanayi ciro endeksi Ağustos ayında bir önceki yılın aynı ayına göre %26,6 arttı.",Ekonomi
Piyasa güne eksi rezervde başladı,Ekonomi
"Citigroup, Deutsche Bank ve HSBC Libor manipülasyonu davasında 132 milyon dolar ödemeyi kabul ettiler.",Ekonomi
Gelişen piyasa yatırımcılarını en fazla 'Fed' ilgilendiriyor,Ekonomi
Bitcoin fiyatında yükseliş hız kesmiyor,Ekonomi
"Petrolün varili 56,53 dolardan işlem görüyor",Ekonomi
"IMF Başkanı Christine Lagarde, artan global riskler için uyardı.",Ekonomi
Tüpraş 7 yıl vadeyle 700 milyon dolar borçlanıyor,Ekonomi
Çin'de ihracat direncini korurken ithalat hızlandı,Ekonomi
Fed'in aralıkta faiz artıracağına emin değilim',Ekonomi
TMSF'den Hazine'ye 36 milyon dolar ödeme,Ekonomi
"Bankacılık Düzenleme ve Denetleme Kurumu, Merrill Lynch Yatırım Bank AŞ'deki hisse devrine ve Turkcell Özel Finansman AŞ unvanlı bir finansman şirketinin kurulmasına izin verdi.",Ekonomi
IMF Başkanı'ndan sanal para uyarısı!,Ekonomi
Avrupa borsalarında karışık bir seyir izleniyor,Ekonomi
"Asya borsalarında haftanın son işlem gününde alış ağırlıklı bir seyir izlenirken, Güney Kore'de Kospi endeksi negatif ayrıştı.",Ekonomi
"Dünyanın en büyük petrol ithalatçısı Çin, ülkeleri petrol alımlarında yuanı kabul etmeye teşvik etmek için çeşitli teknikler kullanıyor. Eğer başarılı olursa, doların dünyanın rezerv para birimi olarak kullanımını da azalacak.",Ekonomi
Gram altın güne yükselişle başladı,Ekonomi
Özel sektörün kısa vadeli borcu 17.5 milyar dolar oldu,Ekonomi
Westpac: Euronun dolar karşısında daha fazla yukarı yönlü potansiyeli var,Ekonomi
Borsa günün ilk yarısında geriledi,Ekonomi
"Merkez Bankası faiz kararını açıkladı. Faiz koridorunun üst bandı, çeyrek puan indirilerek yüzde 8,50'ye çekildi.",Ekonomi
"Cari açıktaki düşüş sürüyor. Cari açık, 1 milyar 92 milyon dolar azalarak 3 milyar 677 milyon dolar olarak gerçekleşti.",Ekonomi
Negatif faiz oranları başarılı oldu,Ekonomi
Bankalarla 'yüksek faiz' zirvesi,Ekonomi
"Finansal Hizmetler Güven Endeksi, Aralık'ta 0,6 Puan Azaldı",Ekonomi
Piyasalar ABD'nin enflasyon verilerine odaklandı,Ekonomi
"Borsa, günü yükselişle tamamladı",Ekonomi
Rusya'nın bütçe açığı 300 milyar rubleye geriledi,Ekonomi
"ABD'li yatırım bankacılığı devlerinden Citigroup ve JPMorgan Chase, 2017 yılının üçüncü çeyreğinde net kar ve gelirlerinin arttığını duyurdu.",Ekonomi
200 ve 2000 rubleleri piyasaya sunuluyor,Ekonomi
Borsa günün ilk yarısında yükseldi,Ekonomi
"Wikileaks, ABD'ye bitcoin için teşekkür etti",Ekonomi
IMF'den gelişen ülkelere 'gevşek para' uyarısı,Ekonomi
15 yılda 200 milyar dolar yatırım aldık,Ekonomi
Avrupa borsalarında karışık bir seyir izleniyor,Ekonomi
"Dünya Bankası, Türkiye için bu yıl ve gelecek yıl için büyüme tahminini yüzde 3,5'te sabit tutarken, 2018 için yüzde 3,6 olarak belirledi.",Ekonomi
Gram altın haftaya yükselişle başladı,Ekonomi
"Merkez Bankası verilerine göre piyasa 78.184,7 milyon TL ekside açıldı.",Ekonomi
ECB enflasyon hedefine ulaşacağına inanıyor,Ekonomi
İtalyan devi yatırım için Türkiye'yi seçti,Ekonomi
"İngiltere Merkez Bankası Başkanı Carney, gelecek aylarda faiz artırımına gitmenin uygun olabileceğini belirtti.",Ekonomi
Borsa gözünü zirveye dikti,Ekonomi
Doğrudan yatırımlar yüzde 28.8 arttı,Ekonomi
"Kanadalı uçak üreticisi Bombardier C-serisi jet programının çoğunluk hissesini Airbusa satarak İngiltere, Kanada ve Çinde binlerce istihdamını kurtardı.",Ekonomi
Türkiye istihdamda Avrupa'nın zirvesinde,Ekonomi
Euro Bölgesi'nde yıllık enflasyon değişmedi,Ekonomi
Gram altın güne yatay başladı,Ekonomi
